WIN_NAME,win_nationalid,win_country_code,winner_id,name,bvdidnumber
",,eko-region” sp. z o.o.",,pl,674,Eko-Region Sp. z o.o.,PL590765381
",,farmacol-logistyka sp z o.o.",,pl,682,Farmacol-Logistyka Sp. z o.o.,PL141107266
",,farmacol-logistyka sp. z o.o.",,pl,683,Farmacol-Logistyka Sp. z o.o.,PL141107266
",,farmacol-logistyka'' sp. z o.o.",,pl,684,Farmacol-Logistyka Sp. z o.o.,PL141107266
",,farmacol-logistyka’’ sp. z o.o",,pl,686,Farmacol-Logistyka Sp. z o.o.,PL141107266
",,farmacol-logistyka’’ sp. z o.o.",,pl,687,Farmacol-Logistyka Sp. z o.o.,PL141107266
",,inpharm’’ sp. z o.o.,",,pl,720,Inpharm Sp. z o.o.,PL140487485
",,promed’’ s.a.",,pl,756,Promed S.A.,PL001325900
",,takeda pharma’’ sp. z o.o.,",,pl,776,Takeda Pharma Sp. z o.o.,PL012765897
",,tramco’’ sp. z o.o.,",,pl,781,Tramco Sp. z o.o.,PL141098662
",,walmed sp. z o.o.",,pl,808,Walmed Sp. z o.o.,PL017317181
-	la casalinda s.r.l.,,it,873,LA Casalinda S.R.L.,IT00667690044
- asclepios s.a.,,pl,883,Asclepios S.A.,PL272636951
- baxter polska sp. z o.o.,,pl,886,BAXTER Polska Sp. z o.o.,PL730920652
- centrala farmaceutyczna cefarm s.a.,,pl,896,Centrala Farmaceutyczna Cefarm S.A.,PL000288343
- centrala farmaceutyczna cefarm s.a.;,,pl,897,Centrala Farmaceutyczna Cefarm S.A.,PL000288343
- delfarma sp. z o.o.,,pl,900,Delfarma Sp. z o.o.,PL473206703
- european homecare gmbh,,de,904,European Homecare Gmbh,IE906713
- farmacol-logistyka sp. z o.o.,,pl,906,Farmacol-Logistyka Sp. z o.o.,PL141107266
- fresenius kabi polska sp. z o.o.,,pl,911,FRESENIUS KABI POLSKA Sp. z o.o.,PL013231488
- fresenius kabi polska sp. z o.o.;,,pl,912,FRESENIUS KABI POLSKA Sp. z o.o.,PL013231488
- gsk services sp. z o.o.,,,924,GSK SERVICES Sp. z o.o.,PL300040065
- komtur polska sp. z o.o.;,,pl,928,Komtur Polska Sp. z o.o.,PL015805870
- lek s.a,,pl,940,LEK S.A.,PL471255608
- lek s.a.,,pl,941,LEK S.A.,PL471255608
- neuca s.a.,,pl,950,Neuca S.A.,PL870227804
- neuca s.a.;,,pl,951,Neuca S.A.,PL870227804
- profarm ps sp. z o.o.;,,pl,960,Profarm PS Sp. z o.o.,PL008336834
- salus international sp. z o.o.,,,968,Salus International Sp. z o.o.,PL271059470
- salus international sp. z o.o.;,,pl,970,Salus International Sp. z o.o.,PL271059470
- sanofi-aventis sp. z o.o.;,,pl,971,Sanofi-Aventis Sp. z o.o.,PL690135895
- urtica sp. z o.o.,,pl,980,Urtica Sp. z o.o.,PL932081801
- zarys international group sp. z o.o. sp.k.,,pl,983,Zarys International Group Sp. z o.o. sp.k.,PL273295877
-2f,,,997,2F,FR495314619
-3r,,fr,998,"3R Co.,Ltd",KR1348110027567
-aesculap chifa sp. z o.o.,,pl,1001,Aesculap Chifa Sp. z o.o.,PL630002936
-asclepios s.a. ;,,pl,1002,Asclepios S.A.,PL272636951
-baxter polska sp. z o.o.,,pl,1003,BAXTER Polska Sp. z o.o.,PL730920652
-centrala farmaceutyczna cefarm s.a.;,,pl,1006,Centrala Farmaceutyczna Cefarm S.A.,PL000288343
-fresenius kabi polska sp. z o.o.,,pl,1010,FRESENIUS KABI POLSKA Sp. z o.o.,PL013231488
-m.d.m. s.r.l.,,it,1015,M.D.M. - S.R.L.,IT01026430528
-neuca s.a.,,pl,1016,Neuca S.A.,PL870227804
-neuca s.a.;,,pl,1017,Neuca S.A.,PL870227804
-salus international sp. z o.o.,,pl,1021,Salus International Sp. z o.o.,PL271059470
-salus international sp. z o.o.;,,pl,1022,Salus International Sp. z o.o.,PL271059470
-sanofi-aventis sp. z o.o.;,,pl,1023,Sanofi-Aventis Sp. z o.o.,PL690135895
. bialmed sp. z o.o.,,,1034,BIALMED Sp. z o.o.,PL790003564
. fresenius kabi polska sp. z o.o.,,pl,1042,FRESENIUS KABI POLSKA Sp. z o.o.,PL013231488
. olympus polska sp. z o.o.;,,pl,1053,OLYMPUS POLSKA Sp. z o.o.,PL012330343
.kaltec,,it,1117,"Kaltec Co.,Ltd.",JP8120001211436
.medtronic poland sp. z o.o.,,pl,1120,MEDTRONIC POLAND Sp. z o.o.,PL011206233
07 printmedia as,,no,1313,07 Printmedia AS,NO976188071
1,,mk,1337,1,RU41841651N
1&1 versatel gmbh,HRB 146659 B,de,1595,1&1 Versatel GmbH,DE2011730431
1000mercis,,fr,3291,1000mercis,FR429621311
10x genomics,78703994,nl,3399,"10X Genomics, Inc.",US455614458
10x genomics inc,5178670,us,3404,"10X Genomics, Inc.",US455614458
10x genomics inc.,,us,3405,"10X Genomics, Inc.",US455614458
"10x genomics, inc",,us,3406,"10X Genomics, Inc.",US455614458
1csc a.s.,,cz,3876,1CSC a.s.,CZ01534432
1heiz pellets ag,,de,4017,1Heiz Pellets AG,DE3150391029
1life management solutions limited,,uk,4022,1life Management Solutions Limited,GB02566586
24 x 7,,uk,4986,24 X 7 Ltd.,GB04142000
24 x 7 ltd,,,4988,24 X 7 Ltd.,GB04142000
2a farm srl,,ro,5122,2A Farm SRL,RO27887894
2care4 aps,,dk,5303,2care4 ApS,DK28964080
2f,,fr,5376,2F,FR495314619
2fc+net,,fr,5412,2fc+Net,FR305898595
2g energietechnik gmbh,,de,5423,2G Energietechnik GmbH,DE4250201920
2g energy ag,,de,5424,2G Energy AG,DE4250398281
2g energy ltd,7778950,uk,5425,2G Energy Ltd.,GB07778950
2h energy,,fr,5452,2H Energy,FR353926447
2i aeroporti s.p.a.,11188801002,it,5461,2I Aeroporti S.P.A.,IT11188801002
2i rete gas s.p.a.,,it,5468,2I Rete GAS S.P.A.,IT06724610966
2i rete gas s.p.a.,,it,5468,2I Rete GAS S.P.A.,IT00736240151
2p asfalti s.r.l.,10882151003,it,5635,2P Asfalti S.R.L.,IT10882151003
2p asfalti srl,,it,5637,2P Asfalti S.R.L.,IT10882151003
3 m,,,5941,3 M,GBML4856
3 m.c. - societa' per azioni,,it,6025,3 M.C. - Societa' PER Azioni,IT04303410726
3 step it as,878 703 812,no,6136,3 Step IT AS,NO878703812
3 step it sweden ab,556488-0218,se,6141,3 Step It Sweden AB,SE5564880218
3-m poland sp. z o.o.,,pl,6256,3M POLAND Sp. z o.o.,PL012086877
3.s,,dk,6319,3S,FR388478489
3b construction,,fr,6580,3B Construction LTD,GB04756850
3d,,fr,6695,3D,FR419088760
3d sas,,,6807,3D,FR419088760
3d systems europe limited,,uk,6841,3D Systems Europe Limited,GB04192467
3d systems gmbh,,de,6843,3D Systems GmbH,DE6050069523
3g spa,,it,7042,3G S.P.A.,IT02619020122
3m,,,7161,3M Company,US410417775
3m,,,7161,3M,RU41231007N
3m a/s,,,7175,3M A/S,DK43335316
3m belgium,,be,7180,3M Belgium,BE0402683721
3m deutschland gmbh,,de,7192,3M Deutschland GmbH,DE5270000007
"3m espana, s.l., sucursal em portugal",,pt,7210,"3M Espana, S.L. - Sucursal EM Portugal",PT980560241
3m france,,,7320,3M France,FR542078555
3m france*,,fr,7327,3M France,FR542078555
3m italia,,,7375,3M Italia,ITMI1052311
3m italia s.r.l.,,,7379,3M Italia S.R.L.,IT00100190610
3m italia srl,,,7385,3M Italia S.R.L.,IT00100190610
3m norge a/s,914307635,no,7398,3M Norge AS,NO914307635
3m norge as,,no,7399,3M Norge AS,NO914307635
3m poland sp z o.o.,,,7427,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z .o.o.,,pl,7436,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z o.o,,pl,7477,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z o.o.,,,7483,3M POLAND Sp. z o.o.,PL012086877
"3m poland sp. z o.o. ,",,pl,7518,3M POLAND Sp. z o.o.,PL012086877
"3m poland sp. z o.o.,",,pl,7588,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z o.o.;,,pl,7621,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z o.o.; ;,,pl,7623,3M POLAND Sp. z o.o.,PL012086877
3m poland sp. z. o.o.,,pl,7635,3M POLAND Sp. z o.o.,PL012086877
3m svenska aktiebolag,,se,7739,3m Svenska Aktiebolag,SE5560219684
3m uk holdings limited,,uk,7742,3M UK Holdings Limited,GB00241888
3m united kingdom plc,,,7751,3M United Kingdom PLC,GBNF003135
3m united kingdom plc.,,uk,7794,3M United Kingdom PLC,GBNF003135
3ma group,,fr,7831,3MA Group,FR490573219
3r,,fr,7937,"3R Co.,Ltd",KR1348110027567
3s,,at,7972,3S,FR388478489
3s s.a.,,,8002,3S S.A.,PL277704261
3s sa,,pl,8006,3S S.A.,PL277704261
3step it oy,,,8085,3Step IT Oy,FI21619427
4 murs,,fr,8383,4 Murs,FR775618945
4 ways healthcare limited,,uk,8494,4 Ways Healthcare Limited,GB04785250
4c s.r.l.,,it,8728,4C S.R.L.,IT03086840240
4children,,,8748,4children,GB01789253
4m,,fr,9003,4M,FR389435272
4net technologies ltd,,uk,9061,4net Technologies LTD,GB05448638
4service eir renhold as,,no,9226,4service EIR Renhold AS,NO917719993
4workers sp. z o.o,,pl,9326,4Workers Sp. z o.o.,PL380603400
5e byg a/s,,dk,9685,5E Byg A/S,DK30811097
5n plus inc,,ca,9705,5N Plus Inc.,CA33070NC
7n sp. z o.o.,,pl,10115,7N Sp. z o.o.,PL193114219
": aesculap chifa sp. z o.o.,",,pl,10412,Aesculap Chifa Sp. z o.o.,PL630002936
: b. braun trading kft.,,hu,10421,B. Braun Trading Kft.,HU25061978
: balcia insurance se,Cod. Fisc. 97654980586 e P.IVA 40003159840.,lv,10422,Balcia Insurance SE,LV000315984
: cns consorzio nazionale servizi societa' cooperativa,,it,10426,CNS Consorzio Nazionale Servizi Societa' Cooperativa,IT02884150588
: cooperativa sociale societa' dolce - societa' cooperativa,,it,10427,Cooperativa Sociale Societa' Dolce - Societa' Cooperativa,IT03772490375
: edwards lifesciences,,fr,10432,Edwards Lifesciences Corp,US364316614
: edwards lifesciences,,fr,10432,Edwards Lifesciences Ltd.,JP7011101053202
: edwards lifesciences,,fr,10432,Edwards Lifesciences SAS,FR429487507
: farmacol-logistyka sp. z o.o.,,pl,10437,Farmacol-Logistyka Sp. z o.o.,PL141107266
: fissa finalidad social s.l.,B10219913,es,10438,Fissa Finalidad Social SL,ESB 10219913.00
: mercator medical s.a.,,pl,10450,Mercator Medical S.A.,PL350967107
: nrc group finland oy,,fi,10451,NRC Group Finland Oy,FI10078223
: paul hartmann polska sp. z o.o.,,pl,10453,PAUL HARTMANN POLSKA Sp. z o.o.,PL471042226
: siemens healthcare sp. z o.o.,,pl,10473,Siemens Healthcare Sp. z o.o.,PL360879654
: urtica sp. z o.o.,,pl,10482,Urtica Sp. z o.o.,PL932081801
:servier polska services sp. z o.o.,,pl,10496,Servier Polska Services Sp. z o.o.,PL017488416
;;graso zenon sobiecki,,pl,10520,GRASO Zenon Sobiecki,PL190507527
;;krex” sp. z o.o.,,pl,10530,Krex Sp. z o.o.,PL050583379
?boston scientific polska sp. z o.o.,,pl,10565,BOSTON SCIENTIFIC POLSKA Sp. z o.o.,PL012401907
?cooperation pharmaceutique francaise,,,10567,Cooperation Pharmaceutique Francaise,FR399227636
?pfizer,,,10569,Pfizer INC,US135315170
?pfizer,,,10569,Pfizer,FR433623550
?pfizer,,,10569,Pfizer,BE0401994823
?pfizer,,,10569,Pfizer Inc,PH0000009092
@deco,,fr,10574,"Deco Co.,Ltd",KR1101110242985
[s.i.g.] system informations gesellschaft mbh,,de,10590,s.i.g. System Informations Gesellschaft mbH,DE8270148671
\fresenius kabi polska sp. z o.o.,,pl,10592,FRESENIUS KABI POLSKA Sp. z o.o.,PL013231488
a,,fr,10612,A Inc.,JP8011001095640
a & m,,de,10752,"A & M Co.,Ltd",KR1801110715342
a & o systems + services france,,fr,10802,A & O Systems & Services France SAS,FR502153471
a & p falmouth limited,,uk,10807,A & P Falmouth Limited,GB00103287
"a + s, s.r.o.",25584553,cz,10875,"A + S, s.r.o.",CZ25584553
a c h construct,,be,11046,A C H Construct,BE0472552425
a connolly limited,,uk,11122,A. Connolly Limited,GB03860866
a d,,fr,11207,"A D, Inc.",US126534919L
a j gallagher,,uk,11418,A J Gallagher,GBML7448212
a j mobility limited,,uk,11421,A J Mobility Limited,GB02808028
a menarini diagnostics limited,,uk,11598,A. Menarini Diagnostics Limited,GB02120375
a menarini diagnostics srl,,,11599,A. Menarini Diagnostics S.R.L.,IT05688870483
a r transport,,uk,11731,A & R Transport INC,US129949979L
a r transport,,uk,11731,A & R Transport,US245191931L
a society ab,556222-1068,se,11781,A Society AB,SE5562221068
a&c company,RO16495844,ro,12216,AC Corp,US126875371L
a&c company,RO16495844,ro,12216,"A&C Co.,Ltd.",JP6390001000244
a&dt srl,,it,12287,ADT S.R.L.,IT02983420155
a&p b.v.,,nl,12435,AP B.V.,NL51972441
a&p bv,23068479,nl,12436,AP B.V.,NL51972441
a&p tyne limited,,uk,12451,A&P Tyne Limited,GB05127750
a'team,,fr,12514,Ateam Inc.,JP6180001055771
"a-dos energia, s.l.",B25687401,es,12778,A-Dos Energia SL.,ESB 25687401.00
a-g-net,,fr,12792,Ag-Net,FR712880830
a-h-c,,fr,12825,"Ahc.Co.,Ltd.",JP2040001023366
a-klinikka oy,2782671-8,fi,13100,A-klinikka Oy,FI27826718
a-kwadraat,BE 0406.668.540,be,13156,A-Kwadraat,BE0406668540
a-mac b.v.,30194102,nl,13181,A-Mac B.V.,NL30194102
a-mac bv,30194102,nl,13184,A-Mac B.V.,NL30194102
a-res,,be,13238,Ares,FR332108901
a-res,,be,13238,Ares,RU37157140
a-sc,,fr,13243,"ASC Co.,Ltd",KR1101111907538
a-sc,,fr,13243,"ASC Co.,Ltd.",JP9010001073317
a-sc,,fr,13243,ASC INC,CA260937281L
a-sc,,fr,13243,"ASC Co., Ltd.",JP5030001035839
a-team,523 021 624 000,fr,13267,Ateam Inc.,JP6180001055771
a. connolly limited,386086,uk,13489,A. Connolly Limited,GB03860866
a. embarba s.a.,A29018637,es,13583,A Embarba SA,ESA 29018637.00
"a. embarba, s.a.",,,13590,A Embarba SA,ESA 29018637.00
a. embarba; s.a.,,,13592,A Embarba SA,ESA 29018637.00
a. enggaard a/s,,dk,13594,A. Enggaard A/S,DK18795507
a. hak infranet b.v.,,nl,13657,A. Hak Infranet B.V.,NL11018556
a. hak leidingbouw b.v.,,nl,13660,A. Hak Leidingbouw B.V.,NL11055087
a. hak zuid b.v.,,nl,13666,A. Hak Zuid B.V.,NL16029034
a. hak zuid bv,,nl,13667,A. Hak Zuid B.V.,NL16029034
a. menarini - industrie farmaceutiche riunite srl,,it,13814,A. Menarini - Industrie Farmaceutiche Riunite - S.R.L.,IT00395270481
a. menarini - industrie farmaceutiche riunite srl,,it,13814,A. Menarini Industrie Farmaceutiche Riunite SRL,GBFC029984
a. menarini diagnostics limited,,,13832,A. Menarini Diagnostics Limited,GB02120375
a. menarini diagnostics s.r.l,,it,13835,A. Menarini Diagnostics S.R.L.,IT05688870483
a. menarini diagnostics s.r.l.,,,13836,A. Menarini Diagnostics S.R.L.,IT05688870483
a. menarini diagnostics srl,,,13843,A. Menarini Diagnostics S.R.L.,IT05688870483
a. menarini industrie farmaceutiche riunite srl,,it,13863,A. Menarini - Industrie Farmaceutiche Riunite - S.R.L.,IT00395270481
a. menarini industrie farmaceutiche riunite srl,,it,13863,A. Menarini Industrie Farmaceutiche Riunite SRL,GBFC029984
a. staffare aktiebolag,556222-5713,se,14022,A. Staffare Aktiebolag,SE5562225713
a. stein'sche buchhand'lung gmbh,,de,14025,A. Stein'sche Buchhandlung GmbH,DE4070080485
a. stein'sche buchhandlung gmbh,,de,14026,A. Stein'sche Buchhandlung GmbH,DE4070080485
a. steinsche buchhandlung gmbh,,de,14030,A. Stein'sche Buchhandlung GmbH,DE4070080485
a. stein´sche buchhandlung gmbh,,de,14031,A. Stein'sche Buchhandlung GmbH,DE4070080485
a.b. analitica s.r.l.,,it,14236,AB Analitica SRL,IT02375470289
a.b. medica s.p.a.,,it,14244,AB Medica S.P.A.,IT08862820969
a.b.m,,fr,14261,"ABM Co.,Ltd",KR1801110127159
a.b.m,,fr,14261,ABM,FR433473980
a.b.m. italia spa,,it,14265,ABM Italia S.P.A.,IT02358150262
a.b.o.g.,,be,14271,Abog,BE0419525295
a.bb,,de,14289,ABB Ltd,CHCHE101049653
a.bb,,de,14289,ABB,BE0406291923
a.bb,,de,14289,ABB INC,US278203769L
a.bb,,de,14289,Abb Inc,PH0000035915
a.bb,,de,14289,ABB,MA39581-81
a.c. environnement,,fr,14308,AC Environnement,FR441355914
a.c.a.p,,it,14342,Acap,BE0421317520
a.c.h,,,14368,ACH,FR508558111
a.c.m. s.p.a.,,it,14374,ACM S.P.A.,IT01360290199
a.c.m. spa,,it,14376,ACM S.P.A.,IT01360290199
a.c.s,,fr,14394,"Ac's Co., LTD",JP6220001000698
a.c.s. group,BE0875552187,be,14398,ACS Group,US132602626L
a.c.t.t. s.p.a.,,it,14403,A.C.T.T. S.P.A.,IT00525720264
a.co.r,,fr,14406,"AR Co.,Ltd",KR1341110022850
a.co.r,,fr,14406,"Company AR Co.,Ltd",KR1101114236512
a.co.r,,fr,14406,AR,FR424834448
a.d.a.,,it,14434,ADA,FR338657141
a.d.c.,41198944500043,fr,14446,ADC,FR404977415
a.d.i,,fr,14452,ADI,CA132740862L
a.d.i,,fr,14452,ADI LTD,CA132799639L
a.d.m.,,it,14457,ADM INC,JP000032794JPN
a.d.m.,,it,14457,"ADM Co.,Ltd",KR1348110111328
a.d.m. srl,,it,14461,A.D.M. S.R.L.,IT04547410961
a.d.t,,fr,14475,ADT Inc.,US474116383
a.d.t,,fr,14475,ADT LLC,US276493637L
a.d.t.,,fr,14481,ADT Inc.,US474116383
a.d.t.,,fr,14481,ADT LLC,US276493637L
a.de mori s.p.a.,P.I. 10220860158,it,14504,A.De Mori SPA,IT00152680203
a.de mori spa,,it,14505,A.De Mori SPA,IT00152680203
a.e.s,,fr,14547,AES INC,CA259882163L
a.en. slovensko s.r.o.,36399604,sk,14554,A.En. Slovensko s.r.o.,SK36399604
a.f. petroli s.p.a.,,it,14589,A.F. Petroli S.P.A.,IT03645040282
a.f. petroli spa,,it,14590,A.F. Petroli S.P.A.,IT03645040282
a.f.blakemore and son limited,,uk,14595,A.F.Blakemore and SON Limited,GB00391135
a.g.e,,fr,14704,"Age. Co., Ltd.",JP5240001000160
a.g.e,,fr,14704,AGE,ITMI1348733
a.g.m. s.r.l,,it,14712,A.G.M. S.R.L.,IT02096720244
a.g.net,,fr,14714,Ag-Net,FR712880830
a.i.b,,fr,14781,AIB,BE0867323421
a.i.g. europe limited,,it,14802,AIG Europe Limited,IE906664
a.i.g. europe limited,,it,14802,AIG Europe Limited,GB01486260
a.i.t,38096500400076,fr,14817,AIT Corp,VN0101426813
a.i.t,38096500400076,fr,14817,"AIT Co.,Ltd",KR1615110155288
a.j,,fr,14824,"AJ Co.,Ltd",KR1101110541270
a.l.m.t corp,,jp,14923,A.L.M.T. Corp.,JP6010401059967
a.m. general contractor spa,,it,14979,A.M. General Contractor S.P.A.,IE904789
a.m. general contractor spa,,it,14979,A.M. General Contractor S.P.A,IT01157960095
a.m. mangion limited,,mt,14985,A.M. Mangion Limited,MTC4112
a.m. tecnology s.r.l.,,it,15011,A.M. Tecnology S.R.L.,IT04749820652
a.m. tecnology srl,,it,15013,A.M. Tecnology S.R.L.,IT04749820652
a.m.a.co. spa,,it,15024,A.M.A. S.P.A.,IT00639260355
a.m.b,,fr,15025,AMB,FR395067184
a.m.s,,fr,15099,AMS,RU94603851N
a.m.s,,fr,15099,"AMS Co.,Ltd",KR1748110060882
a.m.s,,fr,15099,AMS CO INC,US200080524L
a.m.s,,fr,15099,"Ams,Inc.",JP9013201013694
a.m.s,,fr,15099,AMS,FR393455498
a.m.s. s.p.a.,,it,15255,A.M.S. S.P.A.,IT01814080246
a.m.s. spa,,it,15257,A.M.S. S.P.A.,IT01814080246
a.p.e. s.r.l.,,,15421,APE SRL,IT00921680294
a.p.i,,fr,15427,"API Co.,Ltd.",JP7200001000245
a.p.i,,fr,15427,A.P.I.,BE0438031016
a.p.i. restauration,,,15429,API Restauration,FR477181010
a.p.m,,fr,15441,APM LLC,US187558776L
a.p.m,,fr,15441,APM LLC,US145218978L
a.p.n promise s.a,,pl,15447,A.P.N. Promise S.A.,PL012521511
a.p.n promise s.a.,,pl,15448,A.P.N. Promise S.A.,PL012521511
a.p.n. promise s.a,,pl,15457,A.P.N. Promise S.A.,PL012521511
a.p.n. promise s.a.,PL5210088682,lv,15460,A.P.N. Promise S.A.,PL012521511
a.p.n. promise sa,40003057571,lv,15491,A.P.N. Promise S.A.,PL012521511
a.p.s,44056104100045,fr,15514,"APS Co.,Ltd",KR1101110870950
a.p.s,44056104100045,fr,15514,"APS Co.,Ltd.",JP9120901005556
a.p.s,44056104100045,fr,15514,APS Inc,KR1101111315286
a.p.s,44056104100045,fr,15514,APS INC,US148913755L
a.p.s,44056104100045,fr,15514,APS,US150067533L
a.p.s,44056104100045,fr,15514,APS INC,US239311112L
a.r.c,,,15546,"ARC Co.,Ltd.",JP4180001085663
a.r.c,,,15546,"ARC Co.,Ltd",JP5320001000367
a.s.a. s.r.l.,,it,15663,A.S.A. S.R.L.,IT02334550239
a.s.e,,fr,15720,"ASE Co.,Ltd",KR1701110354720
a.s.r. schadeverzekering nv,,nl,15755,ASR Schadeverzekering NV,NL30031823
"a.t. kearney, s.a.",,es,15811,AT Kearney SA,ESA 28291755.00
a.t. la espada sl,,es,15812,A.T. LA Espada S.L.,ESB 73092454.00
a.t.a spa,,,15826,ATA S.P.A.,IT01164640094
a.t.f,,fr,15839,ATF INC,US130687836L
a.t.g co. ltd,,mt,15843,ATG Inc.,US942657762
a.t.g. co. ltd.,,mt,15846,ATG Inc.,US942657762
a.t.s,,fr,16430,"Ats, LLC",US125648170L
a.t.s,,fr,16430,"ATS Co.,Ltd",KR1760110101482
a.t.s,,fr,16430,"ATS Co.,Ltd.",JP2120001108497
a.t.s,,fr,16430,ATS,FR390642296
a.v.r. s.p.a.,,it,16493,AVR S.P.A.,IT00787010586
a.v.r. spa,,it,16495,AVR S.P.A.,IT00787010586
a.w.h,,fr,16522,"A.W.H., Inc.",US262955807L
a/s boligbeton,31345928,dk,16575,A/S Boligbeton,DK31345928
a/s mogens frederiksen automobiler,,dk,16620,A/S Mogens Frederiksen Automobiler,DK45445216
a/s norske shell,,no,16628,A/S Norske Shell,NO914807077
a/s recipe plus,,lv,16640,AS Recipe Plus,LV000323454
a/s “recipe plus”,,lv,16700,AS Recipe Plus,LV000323454
a/s “viada baltija”,40103867145,lv,16711,AS VIADA Baltija,LV010386714
a/s „recipe plus,,lv,16727,AS Recipe Plus,LV000323454
a/s „recipe plus”,,lv,16728,AS Recipe Plus,LV000323454
a1 hrvatska d.o.o.,29524210204,hr,16801,A1 Hrvatska d.o.o.,HR29524210204
a1 makedonija dooel,,mk,16816,A1 Makedonija Dooel,MK7068310
"a1 slovenija, telekomunikacijske storitve, d. d.",1196332000,si,16886,"A1 Slovenija, telekomunikacijske storitve, d. d.",SI1196332
a2 consulting,,fr,16962,A2 Consulting,FR431476001
a2a ambiente s.p.a.,,it,17051,A2A Ambiente S.P.A.,IT01255650168
a2a ambiente spa,,it,17065,A2A Ambiente S.P.A.,IT01255650168
a2a calore & servizi s.r.l.,,it,17077,A2A Calore & Servizi S.R.L.,IT10421210153
a2a energia s.p.a,,it,17083,A2A Energia S.P.A.,IT12883420155
a2a energia s.p.a.,,it,17084,A2A Energia S.P.A.,IT12883420155
a2a energia s.p.a.;,,it,17086,A2A Energia S.P.A.,IT12883420155
a2a energia spa,,it,17087,A2A Energia S.P.A.,IT12883420155
a2a recycling s.r.l.,,it,17106,A2A Recycling S.R.L.,IT08436120151
a2a recycling srl,,it,17107,A2A Recycling S.R.L.,IT08436120151
a2a recycling srl.,,it,17108,A2A Recycling S.R.L.,IT08436120151
a2a s.p.a.,,it,17110,A2A S.P.A.,IT11957540153
a2a smart city s.p.a,,it,17112,A2A Smart City S.P.A.,IT02159020177
a2a smart city s.p.a.,,it,17113,A2A Smart City S.P.A.,IT02159020177
a2a smart city spa,,it,17114,A2A Smart City S.P.A.,IT02159020177
a2a spa,,,17120,A2A S.P.A.,IT11957540153
a2s,,,17424,A2S,FR865500516
a2s sas,,fr,17440,A2S,FR865500516
a3pro,,fr,17541,A3pro,FR822015442
a4 mobility srl,,it,17573,A4 Mobility S.R.L.,IT04063750238
