Firm Name,Address,Nationality,Ineligible From, Ineligible Until,Notice Effective At EBRD,Originating Institution,Prohibited Practice
"A2Z Waste Management (Nainital) PrivateLimited","Plot No. B-38 Institutional Area Sector 32 Gurgaon 122001 Haryana India","India",,Ongoing,"2024-12-06T12:00:59Z","World Bank Group","Fraudulent Practice"
"A3 Commerce LLP","Currently Unknown. Previously:- Office 305, No. 56A, Samal-2 District, Almaty 050051, Kazakhstan","Kazakhstan","2023-06-30T09:11:59Z","2025-06-29T09:11:59Z","2023-06-30T09:11:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
"AC Oil & Gas Emirates LLC","Fujairah Tower, 11th Floor Fujairah the United Arab Emirates","United Arab Emirates","2022-11-15T12:00:59Z","2025-11-14T12:00:59Z","2023-02-10T12:00:59Z","World Bank Group","Corrupt Practices"
"AC Oil & Gas SL","Avenida Diagonal 644 08017, Barcelona Spain","Spain","2022-11-15T12:00:59Z","2025-11-14T12:00:59Z","2023-02-10T12:00:59Z","World Bank Group","Corrupt Practices"
"AIM Consultants Limited","Plot 267A, Etim Inyang Crescent Victoria Island Annex Lagos Nigeria","Nigeria","2022-02-22T12:00:59Z","2024-12-21T12:00:59Z","2022-05-26T12:00:59Z","World Bank Group","Corrupt Practices"
"APQ S.A.C.	","Manzana D Lote 18 Pisco ICA Peru","Peru",,Ongoing,"2022-01-14T03:31:59Z","World Bank Group","Fraudulent Practice"
"AQUA RIL S.A.C.","Av. Juan de Arona No. 151 Oficina 1001, torre A Distrito de San Isidro Provincia y Departamento de Lima","Peru","2023-06-30T09:18:59Z","2026-01-01T10:18:59Z","2023-09-22T09:18:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Aaron Ingenieros Constructores & Consultores E.I.R.L.","Jr. Chaupimayo D-5 Santa Ana - La Convencion, Cusco, Republic of Peru","Peru",,Ongoing,"2022-01-21T04:04:59Z","World Bank Group","Fraudulent Practice"
"Abel Khermraj Rai","89 Bonasika Street Section K Campbelville Georgetown Guyana","Guyana","2016-08-23T02:49:59Z","2024-08-22T02:49:59Z","2016-08-18T02:49:59Z","Inter-American Development Bank Group","Collusive Practice"
"Ademhan Makine Tarim Insaat Gida Nakliyat Ithalat Ihracaat Sanayi Ve Ticaret Limited Sirketi","Diclekent Mahallesi 625 Sok Centro Plaza 2A/Blok No. 28 Kayapinar Diyarbakir TURKEY","Turkey","2021-08-05T11:00:59Z","2025-02-06T12:00:59Z","2022-03-11T12:00:59Z","Asian Development Bank","Fraudulent Practice"
"Ademhan, Abdulhamit","Diclekent Mahallesi 625 Sok Centro Plaza 2A/Blok No. 28 Kayapinar Diyarbakir TURKEY","Turkey","2021-08-06T04:30:59Z","2025-02-06T12:00:59Z","2022-03-11T12:00:59Z","Asian Development Bank","Fraudulent Practice"
"Aerospace Aviation","P.O. Box 1007-00100 Thika Kenya","Kenya",,Ongoing,"2023-04-24T12:00:59Z","African Development Bank","Fraudulent Practice"
"Africa Development Professional Group Ltd.","K-REP Centre, 4th Floor Wood Avenue Kilimani P.O. Box 9390-00100 Nairobi Kenya","Kenya",,Ongoing,"2023-08-25T02:00:59Z","World Bank Group","Fraudulent Practice"
"Africa Railways Logistics Limited","Augentius Fund Administration (Mauritius) Limited Level 3, Alexander House, 35 Cybercity Ebene Mauritius","Mauritius",,Ongoing,"2020-07-06T08:22:59Z","World Bank Group","Corrupt Practice"
"Agidel-As LLP","Microdistrict No. 2, 10, Ulken village Zhambyl region, Almaty oblast Kazakhstan 040628","Kazakhstan","2023-12-11T10:03:59Z","2026-12-10T10:03:59Z","2024-02-12T10:03:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
"Agustín Olivares Garrigós","Calle Murcia 1 13610 Campo de Criptana Ciudad Real Spain","Spain","2020-12-23T01:12:59Z","2029-12-22T01:12:59Z","2021-04-28T12:12:59Z","Inter-American Development Bank Group","Corrupt Practice"
"Airserco Private Limited","B-10/1, Okhla Industrial Estate, Phase-II, New Delhi 110020","India",,Ongoing,"2020-07-06T08:25:59Z","World Bank Group","Fraudulent Practice"
"Akin Project LLC","Apartment No 6, House no 325 Dilare Eliyeva Streetm Nesimi District Baku Azerbaijan 1010 Ev:13 Menzil: 9, Xatai Rayonu S. Orucoc Kucesi Baki Seheri Azerbaijan 1010","Azerbaijan",,Ongoing,"2019-08-23T11:33:59Z","Asian Development Bank","Fraudulent Practice"
"Aksu Geology and Mineral Construction Engineering Co., Ltd","Facade Room on 1st Floor No. 4 Tuanjie West Road Yingbazha District Aksu City Aksu Prefecture Xinjiang China","China","2023-05-02T12:00:59Z","2026-05-01T12:00:59Z","2023-06-09T12:00:59Z","World Bank Group","Fraudulent Practices"
"Al Thuhat Company, General Contracting and Trade","Al Kazimiyah, Abdul Mohsen Al-Kazimi Square, District: 411 sh/17, Building: 20 Baghdad, Iraq","Iraq",,Ongoing,"2013-03-26T12:56:59Z","World Bank Group","Fraudulent Practice"
"Al Ula Engineering Bureau (doing business as MUE Group)","House No. 33 No. 607 Street No. 3 Baghdad Iraq","Iraq (Islamic Republic of)","2024-05-07T12:00:59Z","2026-11-06T12:00:59Z","2024-05-31T12:00:59Z","World Bank Group","Corrupt Practice"
"Al-Ajam Company for General Contracting Ltd. (Al-Ajam)","Bunyan Al-Sa'di Building, Al-Rabee Street, Baghdad, Iraq","Iraq",,Ongoing,"2016-11-18T02:00:59Z","World Bank Group","Fraudulent Practice"
"Al-Sami Co. Group for General Contracts Ltd.","Al-Mansour, 14 Ramadan St. Building 82, Baghdad, Iraq","Iraq",,Ongoing,"2017-05-31T09:44:59Z","World Bank Group","Fraudulent Practice"
"Alam & Sons Government Contractor & General Order Supplier","Plot No. 10205 Right Portion, Mondahra Colony Gulshan-e-Naveed, Hub Town Lasbela, Balochistan Pakistan","Pakistan",,Ongoing,"2021-06-25T08:23:59Z","World Bank Group","Fraudulent Practice"
"Alamtech International and General Supplier","34A Malama Thomas Street Freetown Sierra Leone","Sierra Leone",,Ongoing,"2018-01-05T10:58:59Z","World Bank Group","Fraudulent Practice"
"Albert Alejandro Ortiz Rincon","Carrera 12 97-80 Oficina 605 Bogota Colombia","Colombia","2023-08-31T12:00:59Z","2031-08-31T12:00:59Z","2023-11-27T12:00:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Alberto Esteve Aparisi","Gran Vía de Ferran el Católic, 81 46008, Valencia España","Spain","2023-01-12T01:14:59Z","2026-01-11T01:14:59Z","2023-04-24T12:14:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Allan Fabricio Fiallos Williams","Ciudad de Comayagüela Residencial La Fuente Casa No. 4308 y/o Residencial Las Uvas Sexta Entrada Bloque 7 Casa 67 Tegucigalpa Honduras","Honduras","2021-12-13T02:25:59Z","2024-12-12T02:25:59Z","2022-03-11T02:25:59Z","Inter-American Development Bank Group","Collusive Practice"
"Allonward Hydro-Generating Equipment (Hongkong) Co., Ltd.","Hong Kong SAR China","China","2021-03-09T12:00:59Z","2025-03-08T12:00:59Z","2021-06-25T12:00:59Z","World Bank Group","Fraudulent Practice"
"Altocom Asia LLP","Currently Unknown. Previously:- 4th floor, No. 56A, Samal-2 District, Almaty 050059, Kazakhstan","Kazakhstan","2023-06-30T10:09:59Z","2025-07-29T10:09:59Z","2023-06-30T10:09:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
"Alyans Beton Limited Liability Company","I. Ismaliyov Street Dom 8, Kvartira 79 Khatainskiy Rayon Baku Republic of Azerbaijan","Azerbaijan","2022-02-10T12:00:59Z","2028-02-09T12:00:59Z","2022-05-26T12:00:59Z","World Bank Group","Fraudulent Practices"
"Amir Uddin Shah","'Araa Gandi Umar Khan Road Hikmat Abad D.I. Khan Pakistan Sunahri Plaza Noor Electrical Toopo Wala D.I. Khan Pakistan'","Pakistan","2022-07-13T11:20:59Z","2028-07-13T11:20:59Z","2023-02-10T12:20:59Z","Asian Development Bank","Fraudulent Practice"
"An Hoa Limited Company","231 Truong Chinh Hai Ba Trung Phu Ly Ha Nam Vietnam","Vietnam",,Ongoing,"2022-01-14T03:19:59Z","World Bank Group","Fraudulent Practice"
"Anhua Haichuanda Water Co., Ltd.","Chajia Village Tianzhuang Town Anhua Country People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Anhui Lu'an Hexiang Expressway Co., Ltd.","Lu 'an University Science Park Thirty Shop Town Jin 'an District Lu 'an City Anhui Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Anhui Zhengrui Construction Engineering Co., Ltd.","5F, Building 1 Dongkun Innovation and Technology Industrial Park No.10 Huanxi Road Yingjiang District Anqing City Anhui Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Antonio Carlos Marchezetti","Av. Candido de Abreau 526 SI. 210 A Centro Civico - Curitiba PR 80530-905 Brazil","Brazil","2022-03-25T12:00:59Z","2028-03-24T12:00:59Z","2022-05-26T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"Anxiang Haichuanda Water Co., Ltd.","No.12, Wuzong New Street Chanling Community Shenliu Town Anxiang County Hunan Province People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Arladi General Trading Company Ltd.","HQ-Afar-Irdod Street, Baidoa Bay, Somalia","Somalia","2020-11-03T12:00:59Z","2027-11-02T12:00:59Z","2020-12-16T12:00:59Z","World Bank Group","Collusive Practice"
"Armando Gómez Monsalve","Calle 31 No. 21-127 Barrio Cañaveral Floridablanca Santander Colombia","Colombia","2021-11-08T02:13:59Z","2024-11-07T02:13:59Z","2022-03-11T02:11:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Artifex Telecomunicaciones S.R.L.","C. Pedro Blanco Esq., Nicolas Acosta, NRO. 1493, Zona: San Pedro, La Paz, Bolivia","Bolivia",,Ongoing,"2016-11-18T02:01:59Z","World Bank Group","Collusive Practice"
"Asbeco Nigeria Ltd.","No. 10 Effanga Mkpa Street, State Housing Estate Calabar Cross River State Nigeria","Nigeria","2021-05-25T10:21:59Z","2026-05-24T10:21:59Z","2022-01-14T11:22:59Z","World Bank Group","Corrupt Practice"
"Asdecon Corporation Company Limited","2782, Lao Prao 130, Lao Prao Road Klongchan, Bangkapi, Bangkok Thailand","Thailand",,Ongoing,"2018-01-05T10:58:59Z","World Bank Group","Corrupt Practice"
"Asesores Bypsa","Calle San Camilo, Edificio Las Taparitas Piso 2, 2-2 Las Palmas Caracas 1050 Venezuela","Afghanistan","2021-10-26T11:00:59Z","2031-10-26T05:38:59Z","2022-03-11T12:00:59Z","Inter-American Development Bank Group","Corrupt Practice"
"Asia Communications Co., Ltd ","#51 EO, St. 266, Sangkat Toul Svay, Prey I Khan Chamkarmom City, Phnom Penh","Cambodia",,Ongoing,"2016-02-25T10:36:59Z","World Bank Group","Fraudulent Practice"
"Asia Pacific Consultant Joint Stock Company","No. 2, Lane 12, Nguyen Ngoc Nai Street, Khuong Mai Ward, Thanh Xuan District, Hanoi, Vietnam","Vietnam",,Ongoing,"2022-07-07T11:04:59Z","World Bank Group","Fraudulent Practice"
"Asian Technical Assistance Co., Ltd.","Phum Sansam Kosal 1 Boeng Tumpun Mean Cheay Phnom Penh 12351 CAMBODIA","Cambodia",,Indefinite,"2022-12-02T07:46:59Z","Asian Development Bank","Fraudulent Practice"
"Asmontage EOOD","2, Paisii Hilendarski Str., 2300 Pemik Bulgaria","Bulgaria",,Ongoing,"2018-11-13T12:00:59Z","World Bank Group","Fraudulent Practice"
"Association Muhandison","C/O Mr. Nasriddin Nasimov, Nemat Koraboev Street, Bld-15, Apt-1, Dushanbe, Tajikistan","Tajikistan","2011-06-01T11:57:59Z",Ongoing,"2014-08-13T11:57:59Z","World Bank Group","Fraudulent Practice"
"Astra Biopharmaceuticals Limited","43/2 Ring Road Shyamoli Dhaka-1207 Bangladesh","Bangladesh",,Ongoing,"2019-10-22T12:49:59Z","World Bank Group","Corrupt Practice"
"Atlas Medicine Concern Pvt. Ltd.","1535 Bhatbhateni, G.P.O. Boxes 3868 and 10807, Kathmandu, Nepal","Nepal",,Ongoing,"2019-06-03T10:19:59Z","World Bank Group","Fraudulent Practice"
"Avtobani Ltd.","Apt. 44, #22 Dimitry Tavdadebuli Str. Tbilisi, Georgia DidiDigomi Tavdadebuli Str. 22, Flat 44 Tbilisi 0131, Georgia Vazha Pshavela 45 Tbilisi, Georgia","Georgia",,Ongoing,"2023-06-09T01:20:59Z","World Bank Group","Collusive Practice"
"Ayemo Investments Limited","Plot 1442 Namugongo Road P.O. Box 10916 Kampala Uganda","Uganda",,Ongoing,"2017-05-31T11:24:59Z","World Bank Group","Fraudulent Practice"
"BASTONI, Agus","Bukit Pamulang Indah B-1/2 RT. 003/009 Kelurahan Pamulang Barat Kecamatan Pamulang Tangerang Selatan 15000 Indonesia","Indonesia",,Indefinite,"2022-03-11T08:25:59Z","Asian Development Bank","Fraudulent Practice"
"BDCTEC International SL","Calle Barcelona 9, Villalbilla, 28810, Madrid, Spain","Spain","2020-07-07T12:00:59Z","2026-06-06T12:00:59Z","2020-12-16T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"BETS Consulting Services Limited","R-135, H-10, Gulshan-1 Dhaka-1212 Bangladesh","Bangladesh","2023-10-31T01:00:59Z","2025-08-30T12:00:59Z","2024-02-12T12:00:59Z","World Bank Group","Fraudulent Practice"
"BEULAH UNIVERSAL LINK RESOURCES LIMITED","15 NNPC Complex, Area 11 Garki, Abuja, FCT, Nigeria","Nigeria",,Ongoing,"2023-04-24T12:00:59Z","African Development Bank","Fraudulent Practice"
"BEZA CONSULTING ENGINEERS PLC","3rd Floor, Nifas Silk Lafto Sub-City Woreda 05, House No, 458 P.O. Box 41292 Addis Ababa Ethiopia","Ethiopia","2023-08-21T12:00:59Z","2024-11-20T12:00:59Z","2023-11-27T12:00:59Z","African Development Bank Group","Fraudulent Practice"
"BFG Consulting Limited","Vistra Corporate Services Centre, Wickhams Cay II Road Town Tortola, VG111 O British Virgin Islands","Afghanistan","2021-10-26T11:00:59Z","2031-10-26T05:39:59Z","2022-03-11T12:00:59Z","Inter-American Development Bank Group","Corrupt Practice"
"BMR Consultoria y Construccion S.A.C.","Calle Bilbao Mz. U Lote 19, A.H., Villa Espana, Chimbote, Ancash","Peru",,Ongoing,"2019-06-03T01:32:59Z","World Bank Group","Fraudulent Practice"
"BMS Consulting LLC","32, Pecheniz ka Str. Kyiv, 04107 Ukraine","Ukraine",,Ongoing,"2022-07-07T11:01:59Z","World Bank Group","Collusive Practice"
"Bama Xingyang Hydropower Development Co., Ltd.","No.78, Shouxiang Avenue Bama Town People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Baoding Bowang New Material Technology Co., Ltd.","No. 3083, Tianwei West Road Jingxiu District Baoding City Hebei Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Baoding Zhongcheng Investment Management Co., Ltd.","No. 139, Wusi West Road Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Baoding Zhongze Water Supply Co., Ltd.","Xiaomafang Village Zhuang Town Mancheng district Baoding City Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Baraka Qurilish Servis LLC","35 A Begmatov St. Gulistan City Syrdarya Region Uzbekistan","Uzbekistan","2024-03-06T12:00:59Z","2028-12-05T12:00:59Z","2024-04-08T12:00:59Z","World Bank Group","Fraudulent and Obstructive Practices"
"Baufirma","10a Avenida 2-18, Zona 15, Colonia Tecun Uman, Ciudad de Guatemala, Guatemala","Guatemala","2014-04-16T02:48:59Z","2027-04-15T02:48:59Z","2014-06-20T02:48:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Baxodir Log’on Teksil","Fergana Region Fergana District Logan QFY Kalacha Street, 69 Uzbekistan","Uzbekistan",,Ongoing,"2024-05-31T10:39:59Z","World Bank Group","Coercive Practice"
"Bayon Water Pump Co., Ltd.","Phum Rung Chak, Sangkat Phnom Penh Thmei, Khan Sen Sok, Phnom Penh, Cambodia","Cambodia",,Ongoing,"2017-05-31T02:51:59Z","World Bank Group","Fraudulent Practice"
"Beijing Gezhouba Zhenghe Yuyong Water Environment Treatment Co., Ltd.","No. 9-1154, Yongle Street Yongledian Town Tongzhou District Beijing People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
"Beijing Tianjia Construction Engineering Co., Ltd.","Room 206, 2nd Floor Building 3 No.2 Jingyuan North Street Economic and Technological Development Zone Beijing Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Beijing Zhuyuan Technology Co. Ltd.","Room 1208, Block 2, 11/F, Tower 13 No. 9 Yard, Huilongguan West Street Changping District, Beijing People's Republic of China","China",,Ongoing,"2023-09-21T11:00:59Z","Asian Development Bank","Fraudulent Practice"
"Ben David Etcheverry Ergueta","Calle 29 de septiembre nro. 340 zona Terminal de Buses Chuquisaca Bolivia","Bolivia","2022-04-19T12:00:59Z","2028-04-18T12:00:59Z","2022-12-02T12:00:59Z","Inter-American Development Bank Group","Fraudulent and corrupt practices"
"Berkenheger GmbH","Wacholderweg 27, 49733 Haren (Ems), Germany","Germany","2020-11-03T12:00:59Z",Ongoing,"2023-06-09T01:19:59Z","World Bank Group","Collusive Practice"
"Berkman International, Inc.","3rd Floor, VAG Building Ortigas Avenue Greenhills San Juan City Philippines","Philippines",,Ongoing,"2021-12-02T02:45:59Z","World Bank Group","Fraudulent Practice"
"Best Scan Solutions Limited","10 Obanle Aro Avenue Off Coker Road Ilupeju Lagos Nigeria","Nigeria",,Ongoing,"2021-04-28T11:50:59Z","World Bank Group","Corrupt Practice"
"Beta Trading Company","P.O. Box 16416 - 00100 Nairobi Kenya","Kenya",,Ongoing,"2023-04-24T12:00:59Z","African Development Bank","Fraudulent Practice"
"Bhandari, Dharma Raj","Managing Director of Sunaula Khimti Pvt. Construction Ltd Anamnagar Kathmandu Nepal","Nepal",,Ongoing,"2019-06-03T10:24:59Z","Asian Development Bank","Fraudulent Practice"
"Bienes Raíces y Construcciones Nostrot S.A.","Calle 50 con calle Elvira Méndez Edificio Financial Center (Towerbank) Piso 29 Panama City Panama","Panama","2022-03-25T08:31:59Z","2031-03-24T08:31:59Z","2022-05-26T07:31:59Z","Inter-American Development Bank Group","Fraudulent Practice"
"Bittohin Chasi Somaj Kallyan Sangstha ","Last Known Address: Rahman Colony, C/o Anisur Rahman, 2nd Floor, Thanapara, Post Office Ishurdi, District Pabna","Bangladesh",,Ongoing,"2016-02-25T10:43:59Z","World Bank Group","Fraudulent Practice"
"Bofra S.A.R.L.","101 rue General Testard, Brazzaville , Republique du Congo","Congo",,Ongoing,"2020-12-16T09:59:59Z","World Bank Group","Fraudulent Practice"
"Bozhou Qihang Transportation Construction Co., Ltd.","Room 105, Building 26 Guangming Community Guangming Road Qiaocheng District Bozhou City Anhui Province Peoples Republic of China","Peoples Republic of China","2024-07-22T12:00:59Z","2027-07-22T12:00:59Z","2024-09-16T12:00:59Z","Asian Development Bank","Fraudulent practice"
"Branch of Canada Construction Cooperation Limited","Phum 6 Tuol Svay Prey Muoy Chamkar Mon Phnom Penh 12308 CAMBODIA Phum Sansam Kosal 1 Boeng Tumpun Mean Chey Phnom Penh 12351 Cambodia","Cambodia",,Indefinite,"2022-12-02T07:48:59Z","Asian Development Bank","Fraudulent Practice"
"Branch of Royal Road Limited","PHUM 6 TUOL SVAY PREY MUOY CHAMKAR MON PHNOM PENH 12308 CAMBODIA","Cambodia",,Indefinite,"2022-12-02T07:51:59Z","Asian Development Bank","Fraudulent Practice"
"Broadway Engineering Services Limited","Plot 636, Nbeeba, Masaka Road P.O. Box 22057 Kampala Uganda","Uganda",,Ongoing,"2018-01-05T10:58:59Z","World Bank Group","Fraudulent Practice"
"Burhani Engineers Ltd, Rwanda","Kacyiru Gasabo Kigali Rwanda","Rwanda","2023-03-07T02:05:59Z","2025-03-06T02:05:59Z","2023-04-24T01:05:59Z","World Bank Group","Fraudulent Practice"
"Burhani Engineers Ltd, Uganda","43 Luthuli Avenue Kampala Uganda","Uganda","2023-03-07T02:15:59Z","2025-03-06T02:15:59Z","2023-04-24T01:15:59Z","World Bank Group","Fraudulent Practice"
"Burhani Engineers Ltd.","P.O. Box 21111-00505 Chania Avenue Killimani Nairobi Kenya","Kenya","2023-03-07T02:01:59Z","2025-03-06T02:01:59Z","2023-04-24T01:01:59Z","World Bank Group","Fraudulent Practice"
"Burhani Power Engineers Ltd","P.O. Box 9264 Dar-Es-Salaam Tanzania","Tanzania","2023-03-07T02:03:59Z","2025-03-06T02:03:59Z","2023-04-24T01:03:59Z","World Bank Group","Fraudulent Practice"
"C.D.W. Construction Co., Ltd.","House No. 35B, St. 476 Sangkat Toultompoung II Khan. Chamkarmorn Phnom Penh Cambodia","Cambodia",,Ongoing,"2018-01-05T10:58:59Z","World Bank Group","Fraudulent Practice"
"CAA Communications & Accessories AG","Dreikoenigstrasse 31 P.O. Box 1639 Zurich Switzerland","Switzerland",,Ongoing,"2017-05-31T11:17:59Z","World Bank Group","Fraudulent Practice"
"CASS Constructores & Cia S.A.S.","Carrera 7a km. 16, Vereda Fusca, Lote Shosua, Chia Cundinamarca, Republic of Colombia","Colombia",,Ongoing,"2022-03-11T01:51:59Z","World Bank Group","Fraudulent Practice"
"CNE Environmental & Waste Services Ltd.","No. 2, Pinto Avenue, Gana Sapele Delta State Nigeria","Nigeria",,Ongoing,"2024-03-11T01:00:59Z","World Bank Group","Fraudulent Practice"
"CNN Caucasia LLC","Poti Free Industrial Zone Poti Free Industrial Zone Plot No 545 Code 04 Sector 1, Poti Code 01, Area No 01 Poti Georgia","Georgia","2024-12-10T12:00:59Z","2026-12-09T12:00:59Z","2024-12-20T12:00:59Z","World Bank Group","Fraudulent practice"
"CORSEP","5ta Avenida 5-55 Edificio Europlaza, Zona 14, Oficina 301, Torre A Ciudad de Guatemala Guatemala","Guatemala","2018-01-29T12:00:59Z","2025-01-28T12:00:59Z","2018-08-07T12:00:59Z","Inter-American Development Bank Group","Collusive Practice"
"CP Power East Africa Limited","Off Namanga Road Athi River P.O. Box 1550-00621 Nairobi Kenya","Kenya","2021-11-04T12:00:59Z","2025-11-03T12:00:59Z","2022-05-26T12:00:59Z","African Development Bank Group","Fraudulent Practices"
"Cabinet de Recherche, de Formation et D'Expertise en Sante (CREFES)","167 Avenue Ngungu, Commune de Kinshasa Kinshasa, Democratic Republic of Congo","Democratic Republic of Congo","2011-07-13T12:19:59Z",Ongoing,"2014-12-01T01:19:59Z","World Bank Group","Fraudulent Practice"
"Cairo Consult","2, National Company Buildings, 3rd Floor Elsefarat District Nasr City Cairo Egypt","Egypt","2024-03-15T12:00:59Z","2028-09-14T12:00:59Z","2024-04-08T12:00:59Z","World Bank Group","Fraudulent Practice"
