"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen","last_change"
"my-ale-02e6e113ad7c859b8f8713a530165956b40b9cab","LegalEntity","FX Primus Ltd","","","","","","2015-12-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-03af495bdc329cf85880d8ba344a7f67efe56dc4","LegalEntity","Cash Deal Sdn Bhd (Boss Venture)","","","","","","2014-02-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-04811a6dfd112321580d3ba6fcef89e2daf50136","LegalEntity","Global Creation Trading","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-05ab3423605800175491aad078f557c4b01f16b4","LegalEntity","XOC7","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-05bb457478ab1bc9230c56ccee4c2a3d0c558dd6","LegalEntity","Preferred Credentials Sdn Bhd","","","","","","2013-01-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-066e5d673defc632801b5b1b2fc51bdfaa310398","LegalEntity","Keenan Brilliant Services (002021597-V)","","","","","","2014-07-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-067f245a5cd0cdc613c14e60b9d46388245f9af0","LegalEntity","Pok Din Empire Sdn Bhd (1130978-D)","","","","","","2016-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-06a9d8cbdc547b95484dde1523a437f97fbb6614","LegalEntity","MOP Consultant Sdn. Bhd (101867-W)","","","","","","2015-10-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-075f6ed84e90d3d1b091a85000b117841f619511","LegalEntity","Mining Guru.net","","","","","","2021-08-06","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0765256f67fdad6984385d9b1a8a553af320636b","LegalEntity","Richway Global Venture","","","","","","2017-05-17","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-07d67767679f7c97cea99a71be24dd29aec2b9d5","LegalEntity","Amazing Yields Sdn Bhd (891529-V)","","","","","","2013-01-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0898cc546d90f6f20860fd82089f72ee80f0db58","LegalEntity","BDIG Investment Scheme","","","","","","2018-07-11","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0982ad7245dd83173e3e940db049796991ebdf63","LegalEntity","Build Rich Investment Group Ltd","","","","","","2014-02-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-09bd21f639349d778c713407e2d4e56d06b2cabd","LegalEntity","Futurebarrel.com","","","","","","2013-11-12","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0a014ff8a8bb83c66a4d871ea26e85606e60e229","LegalEntity","Mi1 Global Sdn Bhd (1145697-X)","","","","","","2017-01-09","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0a1081f3b3b9e204c4fff7f7f8e08eebd7d19ec6","LegalEntity","Family Wealth Resources (SA0310508-M)","","","","","","2015-10-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0b409dcc1bf7fe2245b9928100f8bf7cdc452266","LegalEntity","Aneka Construction Trading","","","","","","2024-01-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0b9f8e6ce634914f60d8b634db4c858efd114ff4","LegalEntity","WMS Global Services (PG0402301-M)","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0c1e3258ddcc51e555f2d7e53944f4d7a455ddc2","LegalEntity","Mughniwave International Sdn. Bhd. (1163697-W)","","","","","","2016-09-15","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0c3e8610382b56f9ade98576ce8dee124a2db1a7","LegalEntity","Muhibah Yatu Investment","","","","","","2021-08-06","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0c7242d222d8136c84e60d9ebb21940aea37fa65","LegalEntity","CFAF Islamic","","","","","","2019-01-14","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0d16d7932f74ce18f8356bac20067e8984067dbd","LegalEntity","Build Rich Enterprise","","","","","","2014-02-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0db9e5c3112ca5173d020d7cd3cfb82a5599b03e","LegalEntity","Puncak Hartawan Resources (0000097980-T)","","","","","","2014-07-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0e2d97ca5ecc043fee2bfe1e939cb3ce530aad45","LegalEntity","Nexgain Malaysia Sdn Bhd (773854-D)","","","","","","2013-03-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0e2f617560178d26e1b763f79185b30d7208c67f","LegalEntity","Harvest Reliance Consultancy Sdn Bhd (965589-W)","","","","","","2013-05-02","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0fbaabcbd6d5cc5d43e924af1ded43a9a1c9bf03","LegalEntity","Arba Emas Perak (SA0280035-A)","","","","","","2015-05-14","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0fc11bbe812951b3f24e7edc76beadb73b4d88af","LegalEntity","Dream Success International Sdn Bhd (1002002-P)","","","","","","2013-09-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-104cba337edc3bda8cabadb5b8eb32f1cffa1b48","LegalEntity","Fortrend International Sdn Bhd (876619-X)","","","","","","2015-09-01","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-104df62a5134487c4909641c099ccbcbdc9d1b1f","LegalEntity","Richway Green Venture (PG0406414M)","","","","","","2017-06-29","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-10538a28b6134686cc90b23881b9eefc5bbfe8eb","LegalEntity","MBI International Sdn Bhd (873323-V)","","","","","","2017-05-22","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-11067ccb64ec14e672862ea1c7fefecf6ec39b3e","LegalEntity","Future Trade Indojaya Sdn Bhd (1003327-P)","","","","","","2012-09-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-11a8ae210fb5e3d139cfd3dd32e1d3f41643bded","LegalEntity","Mayuni Enterprise","","","","","","2018-02-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-11b723196778a529ef7233d40104da61a3e7ed00","LegalEntity","Triple One Management Pte Ltd ( T1FX)","","","","","","2016-02-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-124aec86d445c7033cc236e92a8e5c65e1c4e43d","LegalEntity","CryptoDaily Investment Packages","","","","","","2017-09-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1256d8ac6d60f1c55eb1f947ef91dd1a6c5304cd","LegalEntity","Fruits LT Ventures","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-155625bf6267aaf6539060f64e5b8677f97357bf","LegalEntity","CFWA Capital Business (002665083V)","","","","","","2019-01-14","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-166cee853f35114a45ca4cbbf492fb3a9c2e3f50","LegalEntity","JustMarkets","","","","","","2024-06-24","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2025-01-07T20:56:03","2024-06-24T12:40:33"
"my-ale-1739108d81f3f291773380515a9b22baab5e0332","LegalEntity","SV International Sdn Bhd (1169355-K)","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-178928e36c19bb95058ca95ed2b0c805f0a4affa","LegalEntity","Windsor Fragrance Sdn Bhd (599208-H)","","","","","","2014-10-20","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-187bc4dff1c3120579c0c9e292bc02f7a962eb87","LegalEntity","1Gold.com.my","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-188bffc40a2f46342b666cae4de947ff85397b23","LegalEntity","V Sim Marketing (002283635 - U)","","","","","","2017-09-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1963ad0ed09bd80e76d5d1be4b0666c83f9980d9","LegalEntity","GM Trader","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-19a80b45871a61b4b7b1a1a5f56c790269701954","LegalEntity","Life Time Holidays Sdn Bhd (727129-U)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-19f3d7430111b3c435418b218bf3a74b2b2a6c6b","LegalEntity","SV International Scheme","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1a1483dd84ed47e58fdc3bc7624e8218409ad1af","LegalEntity","Emar Markets","","","","","","2024-06-24","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2025-01-07T20:56:03","2024-06-24T12:40:33"
"my-ale-1a69498487de5fcdf51cbf28641448b90f6eae18","LegalEntity","Premier FX Malaysia","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1aa2143afe899c08bb53554452f033e386b9f3b0","LegalEntity","Kris Plus Enterprise (IP0238424-A)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1b0234f32b1733d5d8c4da12df5e5ca66484e7a9","LegalEntity","BC Academy Sdn Bhd","","","","","","2017-05-17","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1b30776cf936b3c116a96869b3ea4430bcc2a1a4","LegalEntity","FA Markets","","","","","","2013-05-02","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1b737e30253d09270ae337e39f47ece5fdda63cc","LegalEntity","A.A.M Global Corporation Sdn Bhd","","","","","","2017-05-17","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1b778c924dfb10b08b9dc201e5568c8772149133","LegalEntity","Destiny Resources Services","","","","","","2014-07-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1b7f621bece38981631499d17ccb66ed04da7849","LegalEntity","Royal Gold Sdn Bhd (1005830-X)","","","","","","2012-09-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1bbafcfe1204fb017a1e4b87cbf157dabd186f84","LegalEntity","OG1 Asean","","","","","","2017-06-22","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1da3f027c73c9bc8e8343697d5c1e33e8d74c952","LegalEntity","Agar Wood Chamber of Commerce Malaysia","","","","","","2015-05-21","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1e23faa4c47a44297bfe2bdf0a7bfe1d54e9fd6d","LegalEntity","Build Rich Agrotech Berhad","","","","","","2014-02-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1eff07a73640ec5e8ebe6880e4fdb80aee291675","LegalEntity","Strategic Solution (Goldex Group International Limited)","","","","","","2017-09-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-1f9228aeb8bf6b84ce5ec068342fcc757dd90e5d","LegalEntity","CYL Asia Enterprise","","","","","","2017-06-29","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-203808860067daf8c57b21d1e6324834207560a1","LegalEntity","Green Forest Global Sdn Bhd (987049-P)","","","","","","2013-07-22","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-20932ce8f360cbebea6a8a2569b52da873202977","LegalEntity","Live Coin Express","","","","","","2017-06-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-21570d21eed9100f57b77d7f410b282d99b2b6fe","LegalEntity","Dana BPIP","","","","","","2019-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-217297364803ceb54831d9656540b640d246b850","LegalEntity","Real Biz Pasif","","","","","","2013-11-12","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-21b79d1102fc4882f42a9122c6eff6c4327bd7a3","LegalEntity","YDS Holding Groups Bhd (987797-T)","","","","","","2013-05-02","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-21b7eab69f6cea01a94192eb8e8ff6c899a52b6c","LegalEntity","RaiseFX","","","","","","2023-12-06","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-22b4accbede485c8dc8c22ee10f28cfd9a052de9","LegalEntity","Advantage Trader","","","","","","2021-03-15","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-23210e2fb3dbb31c30c972dc366fea94ee20cdad","LegalEntity","Premier Ventures Gold","","","","","","2013-03-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-23aefdde28cdcd59d38993cd71e5f5cea9e5fa73","LegalEntity","Prestige Dairy Farm (M) Berhad (832757-A)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-23c212389767a58deeeed6f6df44d8528f27652d","LegalEntity","Tabung Dana Ehsan","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-240881c6af84afd54a297c0bd25685fff4c4f786","LegalEntity","AU Niaga Sdn Bhd (907806-W)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-24801c310550fb190ae428e2cfd18f754dca4339","LegalEntity","Build Rich Group Holding","","","","","","2014-02-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-24879d6f13678a0fac43f7c33c7cfe334e8806fc","LegalEntity","Azzad Islamic Investment Scheme","","","","","","2021-03-15","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-24f45c2103f4f462707ad6ed41b0869f3b45a14c","LegalEntity","CG International","","","","","","2017-07-31","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-26997a4c2ce45d149702ecf5ae41c53e5f52fd9e","LegalEntity","Urustabil Sdn Bhd (545426-X)","","","","","","2012-09-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-271db654fb3a8d580872580b83d2e13761f0934c","LegalEntity","I Investment 254","","","","","","2024-06-24","","","Malaysia Financial Consumer Alert List","2024-06-24T12:40:33","2025-01-07T20:56:03","2024-06-24T12:40:33"
"my-ale-274d44477f668d175aebf46449b13d4f3c5b8b8f","LegalEntity","Ultimate Power Profits","","","","","","2012-10-16","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-27b7db37fb9cf33d0a7002bfd478932eb808e003","LegalEntity","V Save FX Trading (002482098 - K)","","","","","","2017-09-19","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-27e77ce40c1d880f8a6e91c86a4f5172cc554171","LegalEntity","Skim Pelaburan ROP","","","","","","2019-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-28015f9d40075782787bc170f8586eaba277cd76","LegalEntity","Million Jade Sdn Bhd","","","","","","2015-05-14","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-283b9fbf971ac44b5b8d43b6bf2e431e7975a134","LegalEntity","MGSB Holding Sdn Bhd","","","","","","2015-11-16","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-29b083ff2154892dba0e1ee50e811438fb580177","LegalEntity","TopproFX","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2a31d2afea022243d1b993ca6486877d95347ded","LegalEntity","LocalAdClick","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2a7d77929b1c73f9654b790eb61869075fde6d0d","LegalEntity","Suliz Pearl Mines","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2bc63c1cda12d703762efe5deaf970500baf3dce","LegalEntity","Headway","","","","","","2024-10-01","","","Malaysia Financial Consumer Alert List","2024-10-02T20:56:06","2025-01-07T20:56:03","2024-10-02T20:56:06"
"my-ale-2c2c8ab0baeb427e1f174a3de74131f8ebff1ee4","LegalEntity","VC Gold Sdn Bhd (722295-T)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2d8f3275c4bfdd0222c4baf50825597a26cb9b6e","LegalEntity","CFAF Wakala","","","","","","2019-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2e0681684914e686936ef2694ff48090c1c44789","LegalEntity","Forex4you","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2eaf760e00aa7f91c21f4368eee5a15970313a84","LegalEntity","Delta Wealth Services (002194713-K)","","","","","","2014-07-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-2f577d35fb4e1304b52980516103ca46b6bf03f8","LegalEntity","ArkianFX","","","","","","2019-03-18","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-3085ac2e0a072dd889906e3aaea5ed3f95ed50fe","LegalEntity","Aurawave Marketing Sdn. Bhd","","","","","","2015-05-14","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-31840ca3585ce80b92e591f1db04e0bab0b388eb","LegalEntity","Sejati Agarwood Enterprise","","","","","","2014-05-21","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-322c01ea1e2328da2b4b00b38850669ff5db6857","LegalEntity","Skim Pelaburan SMMG","","","","","","2019-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-3514a2126328804202b4911be093483a8890bc42","LegalEntity","Energetic Gateway Sdn Bhd (511826-X)","","","","","","2013-01-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-354fd6b4c87e370dd6847f380d1ab30a345d27fa","LegalEntity","HAFX Global Venture Sdn Bhd","","","","","","2015-10-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-35936276a294a4de6a653783ee31bb06df9b44b5","LegalEntity","Al-Saliha Worlwide Sdn. Bhd. (628267-M)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-35ff47a7359501b3d3d776bfb9f98fa176db8af6","LegalEntity","Global Tijari Holdings Berhad","","","","","","2017-07-31","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-366cddfb3f458f9f1cd11cc44ed20f6c5df765bf","LegalEntity","UER Gold","","","","","","2014-07-25","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-36b0b1d912e68c0a415525e45ec5cf17a33528be","LegalEntity","Exness Malaysia","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-379588aed0fdbecc5db006f82614c5da2d45b5be","LegalEntity","MX3 World Wide","","","","","","2016-05-27","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-38129dd94ffb9511489a09f993ed68676e84bf26","LegalEntity","Carbon Cash Bhd (1218702-K)","","","","","","2017-07-31","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-3824ae6722e759bea597001fd669efea33864405","LegalEntity","Century Dynasty Asia Pacific Sdn Bhd","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
